player_id,gw,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
0101,1,0.2,0.02,0.22,0.45,0.24,0.03,0.27,0.5,15.0,8.9,18.1,4.19,,,85,0,0,1,1,0,0,0,0,0,0,1,8.6,0.0,0.74,0.53,1.16,4.94,1,3,4
0101,2,0.25,0.03,0.28,0.5,18.0,9.3,19.0,4.5,,,78,0,1,1,2,0,0,0,1,0,0,2,9.2,0.0,0.68,0.51,1.02,5.12,2,4,5
0101,3,0.22,0.02,0.24,0.48,16.0,8.5,17.5,4.2,,,82,0,0,1,1,0,0,0,1,0,0,1,8.8,0.0,0.72,0.52,1.08,5.05,1,3,4
0102,1,0.18,0.06,0.24,0.52,20.0,15.0,20.0,5.5,,,90,1,0,1,1,0,0,0,0,0,0,1,9.5,0.0,0.62,0.50,1.05,6.0,3,2,3
0102,2,0.2,0.07,0.27,0.5,22.0,16.5,21.0,5.8,,,88,1,1,1,1,0,0,0,1,0,0,1,9.2,0.0,0.60,0.51,1.02,6.2,4,3,4
0102,3,0.21,0.06,0.27,0.51,21.0,15.8,20.5,5.6,,,85,0,1,0,2,0,0,0,1,0,0,1,8.9,0.0,0.61,0.50,1.03,6.1,3,2,3
0103,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0104,1,0.0,0.0,0.0,0.1,1.0,0.7,0.4,0.2,,,8,0,0,0,0,0,0,0,1,0,0,0,1.2,0.0,0.0,0.0,5.2,0.1,0.4,0.7
0104,2,0.0,0.0,0.0,0.12,1.2,0.8,0.5,0.25,,,10,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,0.0,0.0,6.0,0.15,0.5,0.8
0104,3,0.0,0.0,0.0,0.11,1.1,0.75,0.45,0.22,,,9,0,0,0,0,0,0,0,1,0,0,0,1.3,0.0,0.0,0.0,5.5,0.12,0.45,0.75
0501,1,0.0,0.0,0.0,1.2,18.0,0.3,0.0,1.2,20.0,0.3,0.0,2.1,,,90,0,0,0,1,0,0,0,0,0,3,1,8.0,2.3,0.3,0.8,1.0,0.0,0.8,9.0
0501,2,0.0,0.01,0.01,1.3,19.0,0.4,0.0,1.3,21.0,0.4,0.0,2.2,,,90,0,0,1,1,0,1,0,0,0,4,1,9.0,2.5,0.4,0.8,1.0,0.0,0.9,9.5
0501,3,0.0,0.01,0.01,1.25,18.5,0.35,0.0,1.25,20.5,0.35,0.0,2.15,,,90,0,0,0,2,0,0,0,1,0,3,1,8.5,2.4,0.35,0.85,1.0,0.0,0.85,9.2
0105,1,0.0,0.0,0.0,0.1,1.5,1.1,0.1,0.3,,,7,0,0,0,0,0,0,0,0,0,0,1,1.2,0.0,1.29,0.0,1.29,10.29,0.2,0.6,0.4
0105,2,0.01,0.01,0.02,0.12,1.6,1.2,0.15,0.35,,,8,0,0,1,0,0,0,0,0,0,0,1,1.5,0.0,1.35,0.0,1.35,10.5,0.25,0.7,0.5
0105,3,0.0,0.0,0.0,0.11,1.4,1.0,0.12,0.32,,,6,0,0,0,0,0,0,0,0,0,0,1,1.3,0.0,1.32,0.0,1.32,10.4,0.22,0.65,0.45
